country,area,percent
Afghanistan,2.41456118752722,2.49313992141566
Albania,5.30124319391147,12.5367044406558
Algeria,3.44347819791532,5.86978507570615
Angola,2.6026159307495,2.30631381507902
Antigua and Barbuda,5.19866016720678,6.58306896310159
Argentina,8.21114066917224,10.926301710832
Armenia,5.95941415939538,10.909237388368
Australia,9.61469751686006,14.9770273025262
Austria,15.1954097847078,18.840484190123
Azerbaijan,5.07734193847958,5.73811196358632
Bangladesh,3.05002549377778,5.03816895894728
Belarus,10.7749747557788,14.3353435018257
Belgium,14.4450574754572,18.1423094027785
Belize,4.49099927161736,3.76244127273942
Benin,4.36085027164519,3.22771888525969
Bhutan,2.4610677172436,4.67953456119362
Bolivia,3.80019947849345,6.46546455123941
Bosnia and Herzegovina,5.79355025473372,15.7170568340544
Botswana,2.458652879965,3.72596920962685
Brazil,3.7643801558836,7.96042299198064
Brunei,2.86054581359017,4.09515689439625
Bulgaria,11.8474339083939,20.0764734173787
Burkina Faso,3.176901476408,2.40787396392306
Burundi,3.26283631261725,2.50248302084365
Cambodia,2.70992379530094,4.11931328453079
Cameroon,3.6943945444803,3.1618923312693
Canada,9.41247210077734,16.147699554397
Caribbean small states,5.84577872826456,8.41570001150124
Central African Republic,4.12760475493471,3.65988429642991
Chad,3.49688677543339,2.46263708550815
Chile,5.60360674461883,10.4192435815292
China,4.70382606883339,9.67614467934214
Colombia,3.74451923180919,7.0390041845833
Comoros,3.21639611602546,2.89327316882422
Democratic Republic of the Congo ,2.89713402603028,3.01772969742923
Republic of Congo,3.79361227434665,3.36590968779225
Costa Rica,4.06414404158523,8.90106434224681
Croatia,11.6050898093551,18.8831675801036
Cuba,7.75506124597452,13.9053392281174
Cyprus,9.35051633630286,12.8328100707589
Czech Republic,13.5595734230942,17.9945381648513
Denmark,14.4252719340274,19.04744409746
Djibouti,2.35318698462224,4.10032628362306
Dominican Republic,3.07401843502169,6.65267656206635
Ecuador,4.12152280871992,6.70420793183109
Egypt,4.45229070443139,5.06322196171621
El Salvador,3.49852337108008,7.93114843330939
Equatorial Guinea,4.20287868403016,2.89146827135527
Eritrea,0,2.60750186540574,
Estonia,12.5134627749187,18.8217933112906
Ethiopia,3.18230326371566,3.48039795687391
Fiji,2.55188861165988,5.83120084201182
Finland,12.0193983471599,20.2644635154614
France,13.9154416697643,18.9384456827407
French Southern and Antarctic Lands,0,0
Gabon,6.14241886886125,4.51466835908661
Gambia,3.02447676833193,2.32940093750474
Georgia,9.24621020531235,14.6154749408076
Germany,15.6479812108839,21.1175632227669
Ghana,2.60320562027797,3.38640126765859
Greece,12.4813067699178,19.9478329084134
Greenland,0,0
Guatemala,2.9693309181805,4.50732010581311
Guinea,3.20587636876865,3.05495589351656
Guinea-Bissau,3.4546871214978,2.87688517423636
Guyana,3.75669900647693,5.03321995435347
Haiti,4.0738034986419,4.63087643698416
Honduras,3.26978380691442,4.41446879524205
Hungary,13.599989065313,17.4956880801928
Iceland,9.86585590242791,13.714143827424
India,3.62841232365145,5.63624534413776
Indonesia,3.58746756101661,5.09506791959051
Iran,2.97517961778432,5.03463014283166
Iraq,4.09241508095153,3.07380603903865
Ireland,10.6105381936813,13.2298690221308
Israel,8.65489508145851,11.2237054356556
Italy,13.327790192565,22.3628707157739
Ivory Coast,2.48530355964033,2.88510205261516
Jamaica,6.75496811208274,9.30317340161717
Japan,8.91420757089896,26.0153646622021
Jordan,3.18376430137524,3.76298324916025
Kazakhstan,6.10608330707414,6.75390858455334
Kenya,3.03279429147107,2.58038639342713
Kiribati,3.34350090159929,3.70350600941223
North Korea,3.55778971551281,9.69694600089202
South Korea,4.11846396245151,12.9654659115207
Kosovo,0,7.15
Kuwait,1.63045299996065,2.0641070137309
Kyrgyz Republic,5.79728888077783,4.27911066950069
Lao PDR,3.4881208442598,3.88537338195102
Latvia,13.0724978533623,19.2836420408268
Lebanon,5.4075683617927,8.14291566286062
Lesotho,4.06383241814859,4.44008102471898
Liberia,2.63944449916698,3.02354353844468
Libya,2.78822637046019,4.3230143601678
Lithuania,11.3536100903619,18.685089596395
Luxembourg,13.6408836440152,13.9942231107331
Macedonia, FYR,6.33594169411968,12.5253690169999
Madagascar,3.36804009566626,2.83405342094986
Malawi,2.38878937154799,3.00469903532041
Malaysia,3.58916157086561,5.86259777031363
Mali,3.24685344096847,2.53395584645096
Mauritania,2.86059768526516,3.10020153784687
Mauritius,3.63290619038106,9.95405953046395
Mexico,3.83791028229735,6.48177654137789
Moldova,7.74490141496988,9.93829285928608
Mongolia,4.49473314149555,3.88480948322688
Montenegro,8.12857078900877,13.8936734492453
Morocco,3.28655358854641,6.39615666573438
Mozambique,2.94909890684182,3.13271100666528
Myanmar,3.98790076462152,5.31848065829131
Namibia,3.46518912342792,3.47981353592014
Nepal,3.28085929539222,5.47615702553458
Netherlands,11.3774228420639,17.9201887959494
New Caledonia,4.28746624042331,9.74168589807909
New Zealand,9.76279619489999,14.6471624858165
